frame,video_seconds,track_id,class,confidence,x1,y1,x2,y2,in_watch_region
1800,60.0,1,person,0.6597,109,209,437,711,0
1801,60.033,1,person,0.5827,99,262,394,711,0
1802,60.067,1,person,0.6533,85,265,378,711,0
1803,60.1,1,person,0.6226,42,242,351,711,0
1804,60.133,1,person,0.7543,0,215,327,711,0
1805,60.167,1,person,0.6577,0,190,317,710,0
1806,60.2,1,person,0.7433,0,173,299,711,0
1807,60.233,1,person,0.7172,0,141,285,710,0
1808,60.267,1,person,0.6847,0,103,277,709,0
1809,60.3,1,person,0.6819,0,193,229,710,0
1810,60.333,1,person,0.7187,0,247,199,711,0
1811,60.367,1,person,0.5463,0,181,213,712,0
1812,60.4,1,person,0.5575,0,240,223,712,0
1813,60.433,2,car,0.6149,0,6,1277,713,0
1814,60.467,2,car,0.5515,0,6,1278,714,0
1815,60.5,2,car,0.4824,0,5,1278,712,0
1816,60.533,6,person,0.6413,947,32,1255,704,0
1817,60.567,6,person,0.6947,937,41,1242,705,0
1818,60.6,6,person,0.7919,898,38,1209,703,0
1819,60.633,6,person,0.8291,854,27,1178,704,0
1820,60.667,6,person,0.7675,827,25,1163,703,0
1821,60.7,6,person,0.4161,790,30,1137,702,0
1822,60.733,-1,person,0.333,598,14,1221,703,0
1823,60.767,2,person,0.3305,64,7,1280,707,0
1824,60.8,2,person,0.465,104,3,1280,706,0
1825,60.833,2,person,0.7478,89,2,1275,709,0
1826,60.867,2,person,0.5735,75,0,1235,709,0
1827,60.9,2,person,0.4438,64,2,1191,705,0
1828,60.933,2,person,0.6626,9,2,1122,707,0
1829,60.967,2,person,0.8169,0,2,1071,709,0
1830,61.0,2,person,0.6958,0,2,1029,707,0
1831,61.033,2,person,0.7034,0,1,1010,703,0
1832,61.067,2,person,0.6103,0,1,986,703,0
1833,61.1,2,person,0.7636,0,2,965,706,0
1834,61.133,2,person,0.8056,0,2,943,706,0
1835,61.167,2,person,0.6246,0,2,927,705,0
1838,61.267,2,person,0.4299,0,2,888,706,0
1839,61.3,2,person,0.6336,0,2,870,704,0
1840,61.333,2,person,0.6542,0,3,846,704,0
1841,61.367,2,person,0.555,0,3,832,704,0
1842,61.4,2,person,0.356,0,3,810,705,0
1843,61.433,2,person,0.3464,0,2,797,706,0
1844,61.467,2,person,0.4292,0,2,786,706,0
1846,61.533,2,person,0.4409,0,2,761,704,0
1847,61.567,2,person,0.6402,0,3,753,704,0
1848,61.6,2,person,0.4653,0,3,742,704,0
1849,61.633,2,person,0.3611,0,3,729,706,0
1850,61.667,2,person,0.3378,0,3,715,706,0
1850,61.667,14,person,0.4826,41,3,1261,714,0
1851,61.7,-1,person,0.375,398,357,1277,709,0
1852,61.733,14,person,0.3192,74,1,1280,711,0
1858,61.933,-1,person,0.3125,3,5,936,711,0
1860,62.0,2,person,0.4274,40,3,849,714,0
1862,62.067,2,person,0.3064,32,2,847,712,0
1864,62.133,2,person,0.42,13,6,826,713,0
1865,62.167,2,person,0.3181,9,7,822,713,0
1866,62.2,2,person,0.3284,67,5,912,713,0
1867,62.233,14,person,0.4511,34,1,1259,712,0
1868,62.267,14,person,0.3499,13,0,1239,712,0
1869,62.3,14,person,0.3269,0,0,1214,713,0
1869,62.3,2,person,0.3368,0,2,841,719,0
1870,62.333,14,person,0.4472,5,0,1229,712,0
1870,62.333,2,person,0.3757,2,2,846,714,0
1871,62.367,14,person,0.3588,2,0,1225,712,0
1871,62.367,2,person,0.316,0,3,818,713,0
1872,62.4,14,person,0.3922,66,63,1203,711,0
1872,62.4,19,person,0.4337,6,395,1275,712,0
1873,62.433,14,person,0.3306,85,80,1206,709,0
1873,62.433,19,person,0.4084,6,399,1270,713,0
1874,62.467,14,person,0.3078,95,96,1205,709,0
1874,62.467,19,person,0.4244,0,304,1280,714,0
1875,62.5,14,person,0.479,95,96,1219,710,0
1875,62.5,19,person,0.4675,0,278,1280,714,0
1876,62.533,14,person,0.6196,186,242,1110,713,0
1877,62.567,14,person,0.4751,222,309,1066,713,0
1878,62.6,14,person,0.4112,165,315,1024,712,0
1878,62.6,2,person,0.5912,89,294,619,713,0
1878,62.6,19,motorcycle,0.5534,0,142,1280,705,0
1879,62.633,14,person,0.4565,150,302,1069,713,0
1879,62.633,2,person,0.3244,82,294,638,712,0
1879,62.633,19,motorcycle,0.4908,0,143,1280,704,0
1880,62.667,14,motorcycle,0.4653,161,219,1248,711,0
1880,62.667,2,person,0.4038,49,288,624,713,0
1881,62.7,14,person,0.3929,138,250,1189,713,0
1881,62.7,2,person,0.384,25,278,615,712,0
1882,62.733,2,person,0.8231,1,272,598,713,0
1883,62.767,2,person,0.531,0,271,581,713,0
1884,62.8,2,person,0.6406,0,277,566,713,0
1885,62.833,2,person,0.763,0,299,429,712,0
1886,62.867,2,person,0.8129,0,305,374,712,0
1886,62.867,14,motorcycle,0.3843,315,250,1280,711,0
1887,62.9,2,person,0.7297,0,327,344,712,0
1888,62.933,2,person,0.7413,0,357,328,712,0
1889,62.967,2,person,0.7407,0,374,323,712,0
